 ,Area,Mean,Min,Max,%Area
1,1,255,255,255,100
2,1,255,255,255,100
3,3,255,255,255,100
4,1,255,255,255,100
5,1,255,255,255,100
6,1,255,255,255,100
7,1,255,255,255,100
8,1,255,255,255,100
9,1,255,255,255,100
10,1,255,255,255,100
11,1,255,255,255,100
12,1,255,255,255,100
13,1,255,255,255,100
14,6,255,255,255,100
15,1,255,255,255,100
16,1,255,255,255,100
17,3,255,255,255,100
18,1,255,255,255,100
19,1,255,255,255,100
20,1,255,255,255,100
21,1,255,255,255,100
22,1,255,255,255,100
23,4,255,255,255,100
24,10,255,255,255,100
25,1,255,255,255,100
26,1,255,255,255,100
27,1,255,255,255,100
28,1,255,255,255,100
29,1,255,255,255,100
30,1,255,255,255,100
31,1,255,255,255,100
32,1,255,255,255,100
33,2,255,255,255,100
34,1,255,255,255,100
35,3,255,255,255,100
36,1,255,255,255,100
37,1,255,255,255,100
38,1,255,255,255,100
39,4,255,255,255,100
40,2,255,255,255,100
41,3,255,255,255,100
42,1,255,255,255,100
43,1,255,255,255,100
44,1,255,255,255,100
45,1,255,255,255,100
46,1,255,255,255,100
47,1,255,255,255,100
48,1,255,255,255,100
49,2,255,255,255,100
50,1,255,255,255,100
51,265,255,255,255,100
52,1,255,255,255,100
53,1,255,255,255,100
54,2,255,255,255,100
55,119,255,255,255,100
56,6,255,255,255,100
57,1,255,255,255,100
58,1,255,255,255,100
59,1,255,255,255,100
60,2,255,255,255,100
61,5,255,255,255,100
62,1,255,255,255,100
63,1,255,255,255,100
64,2,255,255,255,100
65,41,255,255,255,100
66,3,255,255,255,100
67,8,255,255,255,100
68,18,255,255,255,100
69,1,255,255,255,100
70,1,255,255,255,100
71,1,255,255,255,100
72,5,255,255,255,100
73,1,255,255,255,100
74,1,255,255,255,100
75,3,255,255,255,100
76,1,255,255,255,100
77,6,255,255,255,100
78,1,255,255,255,100
79,18,255,255,255,100
80,2,255,255,255,100
81,2,255,255,255,100
82,2,255,255,255,100
83,2,255,255,255,100
84,1,255,255,255,100
85,1,255,255,255,100
86,1,255,255,255,100
87,1,255,255,255,100
88,4,255,255,255,100
89,1,255,255,255,100
90,1,255,255,255,100
91,3,255,255,255,100
92,3,255,255,255,100
93,1,255,255,255,100
94,1,255,255,255,100
95,1,255,255,255,100
96,1,255,255,255,100
97,4,255,255,255,100
98,1,255,255,255,100
99,1,255,255,255,100
100,1,255,255,255,100
101,2,255,255,255,100
102,1,255,255,255,100
103,76,255,255,255,100
104,18,255,255,255,100
105,1,255,255,255,100
106,46,255,255,255,100
107,1,255,255,255,100
108,1,255,255,255,100
109,2,255,255,255,100
110,1,255,255,255,100
111,1,255,255,255,100
112,111,255,255,255,100
113,1,255,255,255,100
114,1,255,255,255,100
115,1,255,255,255,100
116,2,255,255,255,100
117,53,255,255,255,100
118,11,255,255,255,100
119,1,255,255,255,100
120,1,255,255,255,100
121,2,255,255,255,100
122,1,255,255,255,100
123,19,255,255,255,100
124,1,255,255,255,100
125,1,255,255,255,100
126,2,255,255,255,100
127,1,255,255,255,100
128,3,255,255,255,100
129,1,255,255,255,100
130,1,255,255,255,100
131,3,255,255,255,100
132,2,255,255,255,100
133,1,255,255,255,100
134,1,255,255,255,100
135,2,255,255,255,100
136,6,255,255,255,100
137,1,255,255,255,100
138,1,255,255,255,100
139,1,255,255,255,100
140,1,255,255,255,100
141,3,255,255,255,100
142,1,255,255,255,100
143,83,255,255,255,100
144,47,255,255,255,100
145,2,255,255,255,100
146,17,255,255,255,100
147,19,255,255,255,100
148,9,255,255,255,100
149,19,255,255,255,100
150,39,255,255,255,100
151,1,255,255,255,100
152,1,255,255,255,100
153,1,255,255,255,100
154,102,255,255,255,100
155,1,255,255,255,100
156,1,255,255,255,100
157,2,255,255,255,100
158,1,255,255,255,100
159,60,255,255,255,100
160,21,255,255,255,100
161,1,255,255,255,100
162,1,255,255,255,100
163,1,255,255,255,100
164,124,255,255,255,100
165,1,255,255,255,100
166,1,255,255,255,100
167,1,255,255,255,100
168,1,255,255,255,100
169,1,255,255,255,100
170,15,255,255,255,100
171,2,255,255,255,100
172,1,255,255,255,100
173,1,255,255,255,100
174,1,255,255,255,100
175,1,255,255,255,100
176,1,255,255,255,100
177,3,255,255,255,100
178,2,255,255,255,100
179,25,255,255,255,100
180,1,255,255,255,100
181,1,255,255,255,100
182,2,255,255,255,100
183,2,255,255,255,100
184,2,255,255,255,100
185,1,255,255,255,100
186,9,255,255,255,100
187,26,255,255,255,100
188,128,255,255,255,100
189,1,255,255,255,100
190,45,255,255,255,100
191,1,255,255,255,100
192,175,255,255,255,100
193,1,255,255,255,100
194,1,255,255,255,100
195,1,255,255,255,100
196,1,255,255,255,100
197,2,255,255,255,100
198,1,255,255,255,100
199,1,255,255,255,100
200,1,255,255,255,100
201,2,255,255,255,100
202,1,255,255,255,100
203,1,255,255,255,100
204,1,255,255,255,100
205,5,255,255,255,100
206,1,255,255,255,100
207,1,255,255,255,100
208,1,255,255,255,100
209,30,255,255,255,100
210,1,255,255,255,100
211,1,255,255,255,100
212,1,255,255,255,100
213,13,255,255,255,100
214,2,255,255,255,100
215,1,255,255,255,100
216,243,255,255,255,100
217,27,255,255,255,100
218,1,255,255,255,100
219,35,255,255,255,100
220,2,255,255,255,100
221,1,255,255,255,100
222,2,255,255,255,100
223,1,255,255,255,100
224,1,255,255,255,100
225,1,255,255,255,100
226,1,255,255,255,100
227,1,255,255,255,100
228,5,255,255,255,100
229,1,255,255,255,100
230,1,255,255,255,100
231,2,255,255,255,100
232,1,255,255,255,100
233,1,255,255,255,100
234,1,255,255,255,100
235,1,255,255,255,100
236,4,255,255,255,100
237,141,255,255,255,100
238,1,255,255,255,100
239,2,255,255,255,100
240,2,255,255,255,100
241,1,255,255,255,100
242,1,255,255,255,100
243,19,255,255,255,100
244,1,255,255,255,100
245,2,255,255,255,100
246,2,255,255,255,100
247,1,255,255,255,100
248,1,255,255,255,100
249,2,255,255,255,100
250,1,255,255,255,100
251,1,255,255,255,100
252,9,255,255,255,100
253,1,255,255,255,100
254,1,255,255,255,100
255,1,255,255,255,100
256,28,255,255,255,100
257,20,255,255,255,100
258,1,255,255,255,100
259,1,255,255,255,100
260,10,255,255,255,100
261,7,255,255,255,100
262,1,255,255,255,100
263,4,255,255,255,100
264,1,255,255,255,100
265,1,255,255,255,100
266,1,255,255,255,100
267,1,255,255,255,100
268,1,255,255,255,100
269,9,255,255,255,100
270,1,255,255,255,100
271,1,255,255,255,100
272,12,255,255,255,100
273,167,255,255,255,100
274,1,255,255,255,100
275,74,255,255,255,100
276,1,255,255,255,100
277,1,255,255,255,100
278,6,255,255,255,100
279,1,255,255,255,100
280,4,255,255,255,100
281,2,255,255,255,100
282,1,255,255,255,100
283,7,255,255,255,100
284,18,255,255,255,100
285,1,255,255,255,100
286,1,255,255,255,100
287,1,255,255,255,100
288,1,255,255,255,100
289,3,255,255,255,100
290,1,255,255,255,100
291,1,255,255,255,100
292,1,255,255,255,100
293,16,255,255,255,100
294,9,255,255,255,100
295,1,255,255,255,100
296,1,255,255,255,100
297,2,255,255,255,100
298,1,255,255,255,100
299,1,255,255,255,100
300,1,255,255,255,100
301,2,255,255,255,100
302,2,255,255,255,100
303,3,255,255,255,100
304,95,255,255,255,100
305,77,255,255,255,100
306,3,255,255,255,100
307,59,255,255,255,100
308,2,255,255,255,100
309,1,255,255,255,100
310,1,255,255,255,100
311,1,255,255,255,100
312,58,255,255,255,100
313,1,255,255,255,100
314,19,255,255,255,100
315,61,255,255,255,100
316,1,255,255,255,100
317,44,255,255,255,100
318,46,255,255,255,100
319,1,255,255,255,100
320,1,255,255,255,100
321,1,255,255,255,100
322,18,255,255,255,100
323,1,255,255,255,100
324,1,255,255,255,100
325,1,255,255,255,100
326,2,255,255,255,100
327,14,255,255,255,100
328,1,255,255,255,100
329,1,255,255,255,100
330,59,255,255,255,100
331,1,255,255,255,100
332,2,255,255,255,100
333,94,255,255,255,100
334,1,255,255,255,100
335,1,255,255,255,100
336,1,255,255,255,100
337,1,255,255,255,100
338,1,255,255,255,100
339,1,255,255,255,100
340,1,255,255,255,100
341,3,255,255,255,100
342,1,255,255,255,100
343,96,255,255,255,100
344,5,255,255,255,100
345,2,255,255,255,100
346,3,255,255,255,100
347,2,255,255,255,100
348,90,255,255,255,100
349,31,255,255,255,100
350,1,255,255,255,100
351,1,255,255,255,100
352,2,255,255,255,100
353,1,255,255,255,100
354,4,255,255,255,100
355,32,255,255,255,100
356,2,255,255,255,100
357,59,255,255,255,100
358,1,255,255,255,100
359,1,255,255,255,100
360,1,255,255,255,100
361,21,255,255,255,100
362,3,255,255,255,100
363,8,255,255,255,100
364,25,255,255,255,100
365,1,255,255,255,100
366,3,255,255,255,100
367,1,255,255,255,100
368,1,255,255,255,100
369,2,255,255,255,100
370,87,255,255,255,100
371,1,255,255,255,100
372,3,255,255,255,100
373,1,255,255,255,100
374,1,255,255,255,100
375,2,255,255,255,100
376,1,255,255,255,100
377,2,255,255,255,100
378,2,255,255,255,100
379,5,255,255,255,100
380,1,255,255,255,100
381,1,255,255,255,100
382,1,255,255,255,100
383,2,255,255,255,100
384,1,255,255,255,100
385,5,255,255,255,100
386,1,255,255,255,100
387,1,255,255,255,100
388,1,255,255,255,100
389,1,255,255,255,100
390,23,255,255,255,100
391,1,255,255,255,100
392,1,255,255,255,100
393,1,255,255,255,100
394,1,255,255,255,100
395,1,255,255,255,100
396,5,255,255,255,100
397,1,255,255,255,100
398,15,255,255,255,100
399,1,255,255,255,100
400,3,255,255,255,100
401,28,255,255,255,100
402,1,255,255,255,100
403,1,255,255,255,100
404,8,255,255,255,100
405,14,255,255,255,100
406,3,255,255,255,100
407,1,255,255,255,100
408,2,255,255,255,100
409,1,255,255,255,100
410,1,255,255,255,100
411,5,255,255,255,100
412,1,255,255,255,100
413,4,255,255,255,100
414,17,255,255,255,100
415,1,255,255,255,100
416,18,255,255,255,100
417,1,255,255,255,100
418,24,255,255,255,100
419,4,255,255,255,100
420,1,255,255,255,100
421,1,255,255,255,100
422,1,255,255,255,100
423,45,255,255,255,100
424,4,255,255,255,100
425,1,255,255,255,100
426,3,255,255,255,100
427,1,255,255,255,100
428,1,255,255,255,100
429,1,255,255,255,100
430,1,255,255,255,100
431,2,255,255,255,100
432,1,255,255,255,100
433,2,255,255,255,100
434,3,255,255,255,100
435,10,255,255,255,100
436,1,255,255,255,100
437,1,255,255,255,100
438,1,255,255,255,100
439,2,255,255,255,100
440,1,255,255,255,100
441,2,255,255,255,100
442,3,255,255,255,100
443,6,255,255,255,100
444,10,255,255,255,100
445,73,255,255,255,100
446,1,255,255,255,100
447,2,255,255,255,100
448,15,255,255,255,100
449,7,255,255,255,100
450,1,255,255,255,100
451,1,255,255,255,100
452,5,255,255,255,100
453,1,255,255,255,100
454,8,255,255,255,100
455,1,255,255,255,100
456,1,255,255,255,100
457,1,255,255,255,100
458,14,255,255,255,100
459,1,255,255,255,100
460,3,255,255,255,100
461,1,255,255,255,100
462,36,255,255,255,100
463,1,255,255,255,100
464,4,255,255,255,100
465,1,255,255,255,100
466,13,255,255,255,100
467,1,255,255,255,100
468,1,255,255,255,100
469,1,255,255,255,100
470,29,255,255,255,100
471,1,255,255,255,100
472,1,255,255,255,100
473,2,255,255,255,100
474,53,255,255,255,100
475,1,255,255,255,100
476,10,255,255,255,100
477,1,255,255,255,100
478,1,255,255,255,100
479,2,255,255,255,100
